bin,encoder_phase_counts,detrended_error_arcsec
9.400000000000000000e+01,3.080192000000000189e+04,9.378200846993330231e+00
9.500000000000000000e+01,3.112960000000000218e+04,1.065098515384224420e+01
9.600000000000000000e+01,3.145727999999999884e+04,1.132320820632930491e+01
9.700000000000000000e+01,3.178495999999999913e+04,1.203731240825994320e+01
9.800000000000000000e+01,3.211263999999999942e+04,1.277068291498359720e+01
9.900000000000000000e+01,3.244031999999999971e+04,1.381002087248940491e+01
1.000000000000000000e+02,3.276800000000000000e+04,1.490406856961544868e+01
1.010000000000000000e+02,3.309568000000000029e+04,1.535047529020884660e+01
1.020000000000000000e+02,3.342336000000000058e+04,1.599339704817478669e+01
1.030000000000000000e+02,3.375104000000000087e+04,1.626028253508686561e+01
1.040000000000000000e+02,3.407872000000000116e+04,1.701996867789868162e+01
1.050000000000000000e+02,3.440640000000000146e+04,1.780677359341783728e+01
1.060000000000000000e+02,3.473408000000000175e+04,1.810712943144385534e+01
1.070000000000000000e+02,3.506176000000000204e+04,1.796250331868055738e+01
1.080000000000000000e+02,3.538944000000000233e+04,1.758979036186396527e+01
1.090000000000000000e+02,3.571712000000000262e+04,1.795104353672862629e+01
1.100000000000000000e+02,3.604480000000000291e+04,1.857236087298886318e+01
1.110000000000000000e+02,3.637248000000000320e+04,1.883566534714702456e+01
1.120000000000000000e+02,3.670016000000000349e+04,1.821238103610641446e+01
1.130000000000000000e+02,3.702784000000000378e+04,1.767832807588531452e+01
1.140000000000000000e+02,3.735552000000000407e+04,1.757027803368626095e+01
1.150000000000000000e+02,3.768320000000000437e+04,1.779469024572236080e+01
1.160000000000000000e+02,3.801087999999999738e+04,1.805657565069683201e+01
1.170000000000000000e+02,3.833855999999999767e+04,1.749614148185260731e+01
1.180000000000000000e+02,3.866623999999999796e+04,1.714996085474410137e+01
1.190000000000000000e+02,3.899391999999999825e+04,1.703161401123567842e+01
1.200000000000000000e+02,3.932159999999999854e+04,1.658127454097997244e+01
1.210000000000000000e+02,3.964927999999999884e+04,1.659286125825474656e+01
1.220000000000000000e+02,3.997695999999999913e+04,1.668826769401620780e+01
1.230000000000000000e+02,4.030463999999999942e+04,1.670939699923781419e+01
1.240000000000000000e+02,4.063231999999999971e+04,1.642920455439080030e+01
