bin,encoder_phase_counts,detrended_error_arcsec
1.750000000000000000e+02,5.734400000000000000e+04,-4.539946231703846924e-01
1.760000000000000000e+02,5.767168000000000029e+04,-6.581020155260226545e-01
1.770000000000000000e+02,5.799936000000000058e+04,-1.231404750696238892e+00
1.780000000000000000e+02,5.832704000000000087e+04,-1.641817508460255537e+00
1.790000000000000000e+02,5.865472000000000116e+04,-1.673900308143003279e+00
1.800000000000000000e+02,5.898240000000000146e+04,-3.476253127094809936e-01
1.810000000000000000e+02,5.931008000000000175e+04,4.000007737328073465e-01
1.820000000000000000e+02,5.963776000000000204e+04,3.088095120864728926e-01
1.830000000000000000e+02,5.996544000000000233e+04,7.490841264363308494e-02
1.840000000000000000e+02,6.029312000000000262e+04,3.274222420107862352e-01
1.850000000000000000e+02,6.062080000000000291e+04,1.603801361118419644e+00
1.860000000000000000e+02,6.094848000000000320e+04,2.019350616411859090e+00
1.870000000000000000e+02,6.127616000000000349e+04,1.675238008993437555e+00
1.880000000000000000e+02,6.160384000000000378e+04,1.343115550353858323e+00
1.890000000000000000e+02,6.193152000000000407e+04,1.617053142490342710e+00
1.900000000000000000e+02,6.225920000000000437e+04,2.744927571017663492e+00
1.910000000000000000e+02,6.258688000000000466e+04,2.583977615819230245e+00
1.920000000000000000e+02,6.291455999999999767e+04,2.131680312448131165e+00
1.930000000000000000e+02,6.324223999999999796e+04,1.863001643609529800e+00
1.940000000000000000e+02,6.356991999999999825e+04,1.514489875945221664e+00
1.950000000000000000e+02,6.389759999999999854e+04,1.977711109806554513e+00
1.960000000000000000e+02,6.422527999999999884e+04,1.959658799610585200e+00
1.970000000000000000e+02,6.455295999999999913e+04,1.741332185850577252e+00
1.980000000000000000e+02,6.488063999999999942e+04,2.311771947197969190e+00
1.990000000000000000e+02,6.520831999999999971e+04,2.529239443592625758e+00
2.000000000000000000e+02,6.553600000000000000e+04,2.912540092006443704e+00
2.010000000000000000e+02,6.586368000000000757e+04,2.707079492751853333e+00
2.020000000000000000e+02,6.619136000000000058e+04,2.277763954606381258e+00
2.030000000000000000e+02,6.651904000000000815e+04,2.286950467913878793e+00
2.040000000000000000e+02,6.684672000000000116e+04,2.466062838894516496e+00
2.050000000000000000e+02,6.717439999999999418e+04,2.752397005338249159e+00
2.060000000000000000e+02,6.750208000000000175e+04,2.505323367298625481e+00
2.070000000000000000e+02,6.782975999999999476e+04,2.496237009789861627e+00
2.080000000000000000e+02,6.815744000000000233e+04,2.694197629768092295e+00
2.090000000000000000e+02,6.848511999999999534e+04,3.023213653384136279e+00
2.100000000000000000e+02,6.881280000000000291e+04,3.226604317931871524e+00
2.110000000000000000e+02,6.914047999999999593e+04,2.902113502474372719e+00
2.120000000000000000e+02,6.946816000000000349e+04,2.724999533786820027e+00
2.130000000000000000e+02,6.979583999999999651e+04,2.991349810640581808e+00
2.140000000000000000e+02,7.012352000000000407e+04,3.605931220971815065e+00
2.150000000000000000e+02,7.045119999999999709e+04,3.731895518830857128e+00
2.160000000000000000e+02,7.077888000000000466e+04,3.212070495538032588e+00
2.170000000000000000e+02,7.110655999999999767e+04,3.087363664078619507e+00
2.180000000000000000e+02,7.143424000000000524e+04,3.022146818099503918e+00
2.190000000000000000e+02,7.176191999999999825e+04,3.282657754788505855e+00
2.200000000000000000e+02,7.208960000000000582e+04,3.415401854078002231e+00
2.210000000000000000e+02,7.241727999999999884e+04,2.480688484906447666e+00
2.220000000000000000e+02,7.274496000000000640e+04,1.741046689502777411e+00
2.230000000000000000e+02,7.307263999999999942e+04,1.475820741347825704e+00
2.240000000000000000e+02,7.340032000000000698e+04,1.743218840803982372e+00
2.250000000000000000e+02,7.372800000000000000e+04,1.537176066386020779e+00
2.260000000000000000e+02,7.405568000000000757e+04,1.087981076170598360e+00
2.270000000000000000e+02,7.438336000000000058e+04,2.968589166440634419e-01
2.280000000000000000e+02,7.471104000000000815e+04,2.251524082785051062e-01
2.290000000000000000e+02,7.503872000000000116e+04,2.811577032725420255e-01
2.300000000000000000e+02,7.536640000000000873e+04,3.079080013539733929e-01
2.310000000000000000e+02,7.569408000000000175e+04,-3.239388980209685909e-01
2.320000000000000000e+02,7.602175999999999476e+04,-1.792387891751537010e+00
2.330000000000000000e+02,7.634944000000000233e+04,-2.636391714858003610e+00
2.340000000000000000e+02,7.667711999999999534e+04,-2.802034716412999060e+00
2.350000000000000000e+02,7.700480000000000291e+04,-2.569765333245609629e+00
2.360000000000000000e+02,7.733247999999999593e+04,-2.808249132969286688e+00
2.370000000000000000e+02,7.766016000000000349e+04,-3.556962451509225520e+00
2.380000000000000000e+02,7.798783999999999651e+04,-4.200296904625044903e+00
2.390000000000000000e+02,7.831552000000000407e+04,-4.271312933008892365e+00
2.400000000000000000e+02,7.864319999999999709e+04,-4.064019907826589950e+00
2.410000000000000000e+02,7.897088000000000466e+04,-4.396598629509953504e+00
2.420000000000000000e+02,7.929855999999999767e+04,-4.775222930098795615e+00
2.430000000000000000e+02,7.962624000000000524e+04,-5.348386332752249395e+00
2.440000000000000000e+02,7.995391999999999825e+04,-5.219151874745095121e+00
2.450000000000000000e+02,8.028160000000000582e+04,-5.198068136705052744e+00
2.460000000000000000e+02,8.060927999999999884e+04,-5.423213067947927790e+00
2.470000000000000000e+02,8.093696000000000640e+04,-5.826544504505229760e+00
2.480000000000000000e+02,8.126463999999999942e+04,-6.093782424710417978e+00
2.490000000000000000e+02,8.159232000000000698e+04,-5.743074700884526429e+00
2.500000000000000000e+02,8.192000000000000000e+04,-5.811454478454408878e+00
2.510000000000000000e+02,8.224768000000000757e+04,-5.860652985055512687e+00
2.520000000000000000e+02,8.257536000000000058e+04,-6.111861018707620552e+00
2.530000000000000000e+02,8.290304000000000815e+04,-6.247092083130836748e+00
2.540000000000000000e+02,8.323072000000000116e+04,-6.081746626919656507e+00
2.550000000000000000e+02,8.355840000000000873e+04,-6.281364273596988568e+00
2.560000000000000000e+02,8.388608000000000175e+04,-6.289118021490659238e+00
2.570000000000000000e+02,8.421375999999999476e+04,-6.693818333043572544e+00
2.580000000000000000e+02,8.454144000000000233e+04,-6.637670839098799291e+00
2.590000000000000000e+02,8.486911999999999534e+04,-6.259481650350988247e+00
2.600000000000000000e+02,8.519680000000000291e+04,-6.745263679474553520e+00
2.610000000000000000e+02,8.552447999999999593e+04,-7.024512650350986043e+00
2.620000000000000000e+02,8.585216000000000349e+04,-6.660155201440303152e+00
2.630000000000000000e+02,8.617983999999999651e+04,-6.158871454796583045e+00
2.640000000000000000e+02,8.650752000000000407e+04,-5.804727590338289112e+00
2.650000000000000000e+02,8.683519999999999709e+04,-6.504501565748141978e+00
2.660000000000000000e+02,8.716288000000000466e+04,-7.135928664121862219e+00
2.670000000000000000e+02,8.749055999999999767e+04,-6.801039577600985098e+00
2.680000000000000000e+02,8.781824000000000524e+04,-6.061371096448649354e+00
2.690000000000000000e+02,8.814591999999999825e+04,-5.754134649326275941e+00
2.700000000000000000e+02,8.847360000000000582e+04,-6.407789757710791179e+00
2.710000000000000000e+02,8.880127999999999884e+04,-6.896774715888209784e+00
2.720000000000000000e+02,8.912896000000000640e+04,-7.228611356122595311e+00
2.730000000000000000e+02,8.945663999999999942e+04,-6.279673333896703902e+00
2.740000000000000000e+02,8.978432000000000698e+04,-5.463145828866860398e+00
2.750000000000000000e+02,9.011200000000000000e+04,-5.722784831265031791e+00
2.760000000000000000e+02,9.043968000000000757e+04,-6.487468736540436431e+00
2.770000000000000000e+02,9.076736000000000058e+04,-7.030228340861186531e+00
2.780000000000000000e+02,9.109504000000000815e+04,-6.786900968010292523e+00
2.790000000000000000e+02,9.142272000000000116e+04,-6.295364450062368888e+00
2.800000000000000000e+02,9.175040000000000873e+04,-6.610837156085801247e+00
2.810000000000000000e+02,9.207808000000000175e+04,-7.253710054387401129e+00
2.820000000000000000e+02,9.240575999999999476e+04,-7.650027188823584900e+00
2.830000000000000000e+02,9.273344000000000233e+04,-7.004315441630570405e+00
2.840000000000000000e+02,9.306111999999999534e+04,-5.648751508742960503e+00
2.850000000000000000e+02,9.338880000000000291e+04,-5.295088772435985192e+00
2.860000000000000000e+02,9.371647999999999593e+04,-5.617370649695036633e+00
2.870000000000000000e+02,9.404416000000000349e+04,-5.554831814215561714e+00
2.880000000000000000e+02,9.437183999999999651e+04,-4.533840292109103665e+00
2.890000000000000000e+02,9.469952000000000407e+04,-2.793053238200605914e+00
2.900000000000000000e+02,9.502719999999999709e+04,-1.997073914418824314e+00
2.910000000000000000e+02,9.535488000000000466e+04,-2.326048725232296999e+00
2.920000000000000000e+02,9.568255999999999767e+04,-2.554494638621249702e+00
2.930000000000000000e+02,9.601024000000000524e+04,-2.108539166753022887e+00
2.940000000000000000e+02,9.633791999999999825e+04,-1.690177860563759182e+00
2.950000000000000000e+02,9.666560000000000582e+04,-1.287772593874085159e+00
2.960000000000000000e+02,9.699327999999999884e+04,-1.619435529318659306e+00
2.970000000000000000e+02,9.732096000000000640e+04,-1.996499799152750443e+00
2.980000000000000000e+02,9.764863999999999942e+04,-1.571276944669148135e+00
2.990000000000000000e+02,9.797632000000000698e+04,-1.150512216328144932e+00
3.000000000000000000e+02,9.830400000000000000e+04,-4.571945156421310941e-01
3.010000000000000000e+02,9.863168000000000757e+04,-3.397829500549646720e-01
3.020000000000000000e+02,9.895936000000000058e+04,-3.770941965543427865e-01
3.030000000000000000e+02,9.928704000000000815e+04,3.808104765086526844e-01
3.040000000000000000e+02,9.961472000000000116e+04,9.678009299615416561e-01
3.050000000000000000e+02,9.994240000000000873e+04,1.457713755290797719e+00
3.060000000000000000e+02,1.002700800000000017e+05,2.010568329623979356e+00
3.070000000000000000e+02,1.005977600000000093e+05,1.949720321464341266e+00
3.080000000000000000e+02,1.009254400000000023e+05,2.322884129601221481e+00
3.090000000000000000e+02,1.012531199999999953e+05,2.586501506629335534e+00
3.100000000000000000e+02,1.015808000000000029e+05,2.607841954932092143e+00
3.110000000000000000e+02,1.019084799999999959e+05,3.310596525001679336e+00
3.120000000000000000e+02,1.022361600000000035e+05,3.585524265093950280e+00
3.130000000000000000e+02,1.025638399999999965e+05,4.224253997039645547e+00
3.140000000000000000e+02,1.028915200000000041e+05,4.210941355357298299e+00
3.150000000000000000e+02,1.032191999999999971e+05,3.396000945820575989e+00
