elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
1995449,83.91354000013962,16224369,-37.0,59.42,59.42,67.28058371885642,259.9604057820373
1995533,84.00933899974916,16224332,-37.0,59.42,59.42,67.20386114622158,259.7948830338793
1995617,83.88309900146851,16224298,-34.0,59.42,59.42,61.847837562119345,259.74333297880054
1995700,83.55864299846871,16224266,-32.0,59.42,59.42,58.43575631176157,259.76415050200205
1995784,83.50158699977328,16224225,-41.0,59.42,59.42,74.92197143081827,259.4364955754271
1995867,83.55262800068886,16224193,-32.0,59.42,59.42,58.43996313269456,259.45722262892673
1995951,83.45010700031708,16224160,-33.0,59.42,59.42,60.340250859185446,259.4377838862831
1996034,83.5006750003231,16224129,-31.0,59.42,59.42,56.64893857872043,259.496353340754
1996118,83.58535499974096,16224090,-39.0,59.42,59.42,71.19581814772987,259.24720596211796
1996202,83.74018799986516,16224057,-33.0,59.42,59.42,60.13122863580278,259.2321302371382
1996285,83.7117209994176,16224026,-31.0,59.42,59.42,56.506120683003395,259.2938739685296
1996369,83.59926699995412,16223996,-30.0,59.42,59.42,54.75690018612857,259.3925501242714
1996453,83.52340600140451,16223963,-33.0,59.42,59.42,60.2872970786216,259.37421384899716
1996536,83.54311399853032,16223929,-34.0,59.42,59.42,62.09953200141985,259.31755018573455
1996620,83.50209400123276,16223899,-30.0,59.42,59.42,54.82062184790742,259.4147647927691
1996703,83.44635799949174,16223872,-27.0,59.42,59.42,49.3715141756108,259.6270125214624
1996786,83.43909600080224,16223843,-29.0,59.42,59.42,53.03327864533018,259.7619034050738
1996870,83.46042199991643,16223815,-28.0,59.42,59.42,51.191460995779266,259.935738856188
1996953,83.44082499934302,16223789,-26.0,59.42,59.42,47.54609217108336,260.1865271745695
1997037,83.42432899917185,16223755,-34.0,59.42,59.42,62.18795336431775,260.12807690325184
1997120,83.51019000110682,16223728,-27.0,59.42,59.42,49.33377647470801,260.34128470913384
1997204,83.5127989994362,16223696,-32.0,59.42,59.42,58.467834373901944,260.3614127070722
1997287,83.46690600046713,16223668,-28.0,59.42,59.42,51.187484264435156,260.5353456820124
1997371,83.43963399966015,16223648,-20.0,59.42,59.42,36.57443910303382,261.0178589458266
1997454,83.41231399936078,16223620,-28.0,59.42,59.42,51.22098563927553,261.19097081953817
1997538,83.46538900150335,16223590,-30.0,59.42,59.42,54.844729935513136,261.28763335814216
1997621,83.54340799996862,16223562,-28.0,59.42,59.42,51.140611088089734,261.46271697574997
1997705,83.57650799916883,16223537,-25.0,59.42,59.42,45.643176018588115,261.75416986954536
1997788,83.50653600064106,16223511,-26.0,59.42,59.42,47.50867831734206,262.00594652656275
1997872,83.43578799940587,16223477,-34.0,59.42,59.42,62.17941252363964,261.9476686064867
1997955,83.45646199995826,16223452,-25.0,59.42,59.42,45.70883037944872,262.23731592592236
1998039,83.41281899993191,16223431,-21.0,59.42,59.42,38.415506651652855,262.68080206389084
1998122,83.43700899968098,16223395,-36.0,59.42,59.42,65.83606157935267,262.5452948888694
1998205,83.46365000033984,16223365,-30.0,59.42,59.42,54.84587264912763,262.64193127170034
1998289,83.4441129991319,16223336,-29.0,59.42,59.42,53.03009006963781,262.7768976144158
1998372,83.53791300032753,16223306,-30.0,59.42,59.42,54.79711611579346,262.8746509638223
1998456,83.45759700023336,16223270,-36.0,59.42,59.42,65.81982060284626,262.7394534464834
1998539,83.44334200046433,16223234,-36.0,59.42,59.42,65.8310648975377,262.6040415241477
1998623,83.40939399931813,16223204,-30.0,59.42,59.42,54.88154869926788,262.69986185942224
1998706,83.41460100018594,16223174,-30.0,59.42,59.42,54.878122820965075,262.79576051156965
1998790,83.44089499951224,16223143,-31.0,59.42,59.42,56.68952387678309,262.85343083372953
1998873,83.40984100141213,16223106,-37.0,59.42,59.42,67.68688065272079,262.6788912235217
1998956,83.44073199987179,16223071,-35.0,59.42,59.42,64.00442618220566,262.5820638547972
1999040,83.4029029992962,16223038,-33.0,59.42,59.42,60.374401963772065,262.5619151315255
1999123,83.48481400025776,16223005,-33.0,59.42,59.42,60.31516570917261,262.542998406022
1999207,83.52573000047414,16222971,-34.0,59.42,59.42,62.11245661930222,262.4860732754771
1999290,83.4888539993699,16222930,-41.0,59.42,59.42,74.93339788413212,262.1582268358222
1999374,83.42379399982747,16222891,-39.0,59.42,59.42,71.33369808603176,261.9066494686743
1999457,83.51218300049368,16222861,-30.0,59.42,59.42,54.813999039193355,262.0040158211939
1999541,83.60291999997571,16222827,-34.0,59.42,59.42,62.05510861643956,261.94825168130967
1999624,83.51214600043022,16222789,-38.0,59.42,59.42,69.43109621108442,261.73662699880725
1999708,83.4180549991288,16222754,-35.0,59.42,59.42,64.02182563392033,261.6394585524011
1999791,83.38908699988679,16222711,-43.0,59.42,59.42,78.68270936800049,261.23286392885524
1999875,83.73986200058425,16222671,-40.0,59.42,59.42,72.88662148687821,260.947416631921
1999959,84.04393499949947,16222642,-29.0,59.42,59.42,52.65161404152904,261.0914047098997
2000043,83.94060700084083,16222604,-38.0,59.42,59.42,69.0766966182639,260.8862243754104
2000127,83.99611200002255,16222566,-38.0,59.42,59.42,69.0310504341968,260.68187887426853
2000211,83.94941799997468,16222537,-29.0,59.42,59.42,52.710893458800804,260.82444535159385
