elapsed_ms,actual_interval_ms,encoder,delta_counts,command_speed_hz,reference_speed_hz,actual_speed_hz,position_error_arcsec
1109421,83.84003099854453,16569797,-39.0,59.42,59.42,70.9795507408425,281.2294426243137
1109505,83.78907600126695,16569760,-37.0,59.42,59.42,67.38052527324245,281.06060696922776
1109589,83.82396799788694,16569727,-33.0,59.42,59.42,60.07112894908452,281.046791353017
1109673,83.49506200102041,16569681,-46.0,59.42,59.42,84.06536626877669,280.5259192369026
1109756,83.44627800033777,16569645,-36.0,59.42,59.42,65.82874867681655,280.39055147402354
1109840,83.53391999844462,16569606,-39.0,59.42,59.42,71.23965611198187,280.14063047760646
1109923,83.48838700112537,16569571,-35.0,59.42,59.42,63.96789258610317,280.0445198728636
1110006,83.43624099870794,16569532,-39.0,59.42,59.42,71.32305654166699,279.79312971713614
1110090,83.43493600114016,16569494,-38.0,59.42,59.42,69.49534717292484,279.5803437431626
1110173,83.46162399902823,16569459,-35.0,59.42,59.42,63.988404682098945,279.4838306044686
1110257,83.46304600127041,16569426,-33.0,59.42,59.42,60.330896508957444,279.4645864732949
1110340,83.44480600135284,16569389,-37.0,59.42,59.42,67.65851853060175,279.2905727607246
1110424,83.42018699840992,16569353,-36.0,59.42,59.42,65.8493376741616,279.15481257123895
1110507,83.45352399919648,16569319,-34.0,59.42,59.42,62.16619781448596,279.0968014127932
1110591,83.42242700018687,16569289,-30.0,59.42,59.42,54.872974610769184,279.19281777336096
1110674,83.42086700213258,16569253,-36.0,59.42,59.42,65.84880090444963,279.05706781159876
1110757,83.41229299912811,16569221,-32.0,59.42,59.42,58.538284039872146,279.0756841301946
1110841,83.42299699870637,16569188,-33.0,59.42,59.42,60.35985965240596,279.0558376344886
1110924,83.425493001414,16569158,-30.0,59.42,59.42,54.87095795373259,279.15190010982275
1111008,83.45240599737735,16569126,-32.0,59.42,59.42,58.51014649180338,279.1711197554899
1111091,83.43994400274823,16569096,-30.0,59.42,59.42,54.86145482790866,279.26739958381916
1111175,83.42858600008185,16569066,-30.0,59.42,59.42,54.868923689363605,279.3635085799797
1111258,83.44271399982972,16569037,-29.0,59.42,59.42,53.030979171339396,279.4984538807838
1111341,83.40970499921241,16569010,-27.0,59.42,59.42,49.39320966203994,279.7101503231539
1111425,83.41478600050323,16568981,-29.0,59.42,59.42,53.04873440661113,279.84467556764776
1111508,83.41214100073557,16568950,-31.0,59.42,59.42,56.709066001953914,279.9019134098977
1111592,83.40635799686424,16568923,-27.0,59.42,59.42,49.3951917554042,280.1135595110514
1111675,83.37233100246522,16568894,-29.0,59.42,59.42,53.07574797199993,280.24744620318694
1111758,83.3964349985763,16568859,-35.0,59.42,59.42,64.03842288901404,280.1499525771087
